Name,Sample_Name,Group_code,Date,Time,Latitude,Longitude,Altitude
210713_00116.sed:C4,_wild_rose_,WR,7/13/2021,_11_04_19_11_12_53,64.70465,-148.30261,202.4
210713_00117.sed:C4,_wild_rose_,WR,7/13/2021,_11_04_19_11_13_31,64.70465,-148.30261,202.2
210713_00118.sed:C4,_wild_rose_,WR,7/13/2021,_11_16_42_11_17_50,64.70461,-148.30269,201
210713_00119.sed:C4,_wild_rose2,WR,7/13/2021,_11_16_42_11_18_58,64.70462,-148.30271,200.3
210713_00120.sed:C4,_wild_rose2,WR,7/13/2021,_11_16_42_11_19_33,64.70462,-148.30271,200.3
210713_00121.sed:C4,_wild_rose2,WR,7/13/2021,_11_16_42_11_20_11,64.70462,-148.30271,200.3
210713_00122.sed:C4,_wild_rose2,WR,7/13/2021,_11_16_42_11_20_48,64.70464,-148.30272,200.7
210713_00123.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_16_42_11_22_00,64.70464,-148.30267,200.2
210713_00124.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_16_42_11_22_48,64.70464,-148.30267,199.8
210713_00125.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_16_42_11_23_13,64.70463,-148.30267,199.8
210713_00126.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_16_42_11_23_42,64.70463,-148.30268,199.8
210713_00127.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_16_42_11_24_12,64.70463,-148.30268,199.8
210713_00128.sed:C4,_kinikkinik,KK,7/13/2021,_11_27_06_11_28_13,64.70454,-148.30293,199.6
210713_00129.sed:C4,_kinikkinik,KK,7/13/2021,_11_27_06_11_28_46,64.70454,-148.30293,200
210713_00130.sed:C4,_kinikkinik,KK,7/13/2021,_11_27_06_11_29_15,64.70454,-148.30292,200
210713_00131.sed:C4,_kinikkinik,KK,7/13/2021,_11_27_06_11_29_46,64.70455,-148.30293,200.3
210713_00132.sed:C4,_kinikkinik,KK,7/13/2021,_11_27_06_11_30_25,64.70455,-148.30301,200.9
210713_00133.sed:C4,russet_buffaloberry,RB,7/13/2021,_11_33_46_11_34_45,64.70451,-148.30304,198.6
210713_00134.sed:C4,russet_buffaloberry_west,RB,7/13/2021,_11_33_46_11_35_53,64.70452,-148.30303,199.2
210713_00135.sed:C4,russet_buffaloberry_center_,RB,7/13/2021,_11_33_46_11_36_43,64.70452,-148.30302,199.4
210713_00136.sed:C4,russet_buffaloberry_south__,RB,7/13/2021,_11_33_46_11_37_23,64.70452,-148.30302,199.5
210713_00137.sed:C4,russet_buffaloberry_east,RB,7/13/2021,_11_33_46_11_38_14,64.70451,-148.30295,200.7
210713_00138.sed:C4,_wildrose3_gps_106,WR,7/13/2021,_11_33_46_11_39_36,64.7045,-148.30297,200.6
210713_00139.sed:C4,_wildrose3_gps_106,WR,7/13/2021,_11_33_46_11_40_07,64.7045,-148.30297,200.2
210713_00140.sed:C4,_wildrose3_gps_106,WR,7/13/2021,_11_33_46_11_40_38,64.7045,-148.30298,200.1
210713_00141.sed:C4,_wildrose3_gps_106,WR,7/13/2021,_11_33_46_11_41_09,64.7045,-148.30298,200.1
210713_00142.sed:C4,_wildrose3_gps_106,WR,7/13/2021,_11_33_46_11_41_51,64.7045,-148.30298,200.1
210713_00143.sed:C4,_kinikkinik2_gps_107,KK,7/13/2021,_11_33_46_11_43_53,64.70449,-148.30306,198.7
210713_00144.sed:C4,_kinikkinik2_gps_107,KK,7/13/2021,_11_33_46_11_44_22,64.70448,-148.30306,199.3
210713_00145.sed:C4,_kinikkinik2_gps_107,KK,7/13/2021,_11_33_46_11_44_48,64.70448,-148.30306,199.3
210713_00176.sed:C4,_horsetail_,HT,7/13/2021,_13_31_20_13_32_20,64.70186,-148.31293,138.1
210713_00177.sed:C4,_horsetail_,HT,7/13/2021,_13_31_20_13_32_48,64.70187,-148.31293,136
210713_00178.sed:C4,_horsetail_,HT,7/13/2021,_13_31_20_13_33_31,64.70187,-148.31293,133.6
210713_00179.sed:C4,_horsetail_,HT,7/13/2021,_13_31_20_13_33_50,64.70187,-148.31293,133.4
210713_00180.sed:C4,_horsetail_,HT,7/13/2021,_13_31_20_13_34_50,64.70186,-148.31293,133.2
210713_00181.sed:C4,_carex_aquatils,Ca,7/13/2021,_13_31_20_13_35_50,64.70186,-148.31292,133.3
210713_00182.sed:C4,_carex_aquatils,Ca,7/13/2021,_13_31_20_13_36_18,64.70186,-148.31291,133.2
210713_00183.sed:C4,_carex_aquatils,Ca,7/13/2021,_13_38_59_13_39_48,64.70183,-148.31291,131.9
210713_00184.sed:C4,_carex_aquatils,Ca,7/13/2021,_13_38_59_13_40_49,64.70183,-148.31291,131.9
210713_00185.sed:C4,_carex_aquatils,Ca,7/13/2021,_13_38_59_13_41_17,64.70184,-148.31292,132.7
